 train         node  observed  predicted
     y            2    "0"  "0"
     y            2    "0"  "0"
     y            2    "0"  "0"
     y            2    "0"  "0"
     y            7    "1"  "1"
     y            2    "0"  "0"
     y            2    "0"  "0"
     y            7    "1"  "1"
     y            2    "0"  "0"
     y            2    "0"  "0"
     y            2    "0"  "0"
     y            2    "0"  "0"
     y            7    "1"  "1"
     y            2    "0"  "0"
     y            2    "0"  "0"
     y            2    "0"  "0"
     y            2    "0"  "0"
     y            2    "0"  "0"
     y            2    "0"  "0"
     y            2    "0"  "0"
     y            2    "0"  "0"
     y            2    "0"  "0"
     y            2    "0"  "0"
     y           12    "0"  "0"
     y            2    "0"  "0"
     y            2    "0"  "0"
     y            7    "1"  "1"
     y            2    "0"  "0"
     y            2    "0"  "0"
     y            2    "0"  "0"
     y            7    "0"  "1"
     y            2    "0"  "0"
     y            2    "0"  "0"
     y            2    "0"  "0"
     y            2    "0"  "0"
     y            2    "0"  "0"
     y            2    "0"  "0"
     y            2    "0"  "0"
     y            7    "1"  "1"
     y            7    "1"  "1"
     y            7    "1"  "1"
     y            2    "0"  "0"
     y            2    "0"  "0"
     y           13    "1"  "1"
     y            2    "0"  "0"
     y            2    "0"  "0"
     y            2    "0"  "0"
     y            7    "1"  "1"
     y            2    "0"  "0"
     y            2    "0"  "0"
     y            7    "1"  "1"
     y            7    "1"  "1"
     y           13    "1"  "1"
     y            2    "0"  "0"
     y            7    "1"  "1"
     y            2    "0"  "0"
     y            2    "0"  "0"
     y            2    "0"  "0"
     y            2    "0"  "0"
     y            2    "0"  "0"
     y           13    "1"  "1"
     y            2    "0"  "0"
     y            2    "0"  "0"
     y            7    "1"  "1"
     y            2    "0"  "0"
     y            7    "1"  "1"
     y           13    "1"  "1"
     y            7    "1"  "1"
     y           12    "0"  "0"
     y            2    "0"  "0"
     y            2    "0"  "0"
     y            2    "0"  "0"
     y            2    "0"  "0"
     y            2    "0"  "0"
     y            2    "0"  "0"
     y            2    "0"  "0"
     y            2    "0"  "0"
     y            7    "1"  "1"
     y            2    "0"  "0"
     y            2    "0"  "0"
     y            2    "0"  "0"
     y            7    "1"  "1"
     y           13    "1"  "1"
     y            2    "0"  "0"
     y            2    "0"  "0"
     y            2    "0"  "0"
     y            2    "0"  "0"
     y            2    "0"  "0"
     y            2    "0"  "0"
     y            2    "0"  "0"
     y            2    "0"  "0"
     y            2    "0"  "0"
     y            2    "0"  "0"
     y            2    "0"  "0"
     y            2    "0"  "0"
     y            2    "0"  "0"
     y            2    "0"  "0"
     y            2    "0"  "0"
     y           13    "0"  "1"
     y            7    "1"  "1"
     y            2    "0"  "0"
     y            2    "0"  "0"
     y            2    "0"  "0"
     y            2    "0"  "0"
     y            2    "0"  "0"
     y            2    "0"  "0"
     y            2    "0"  "0"
     y            2    "0"  "0"
     y           13    "1"  "1"
     y            7    "1"  "1"
     y            2    "0"  "0"
     y            2    "0"  "0"
     y            2    "0"  "0"
     y            2    "0"  "0"
     y            2    "0"  "0"
     y            2    "0"  "0"
     y            7    "1"  "1"
     y            2    "0"  "0"
     y            2    "0"  "0"
     y            2    "0"  "0"
     y            2    "0"  "0"
     y            2    "0"  "0"
     y            2    "0"  "0"
     y            2    "0"  "0"
     y            2    "0"  "0"
     y            2    "0"  "0"
     y            2    "0"  "0"
     y            7    "1"  "1"
